date,Ticker,Avg. Sentiment,% Positive,% Negative,% Neutral,Sentiment Volatility,sum_positive,sum_negative,sum_neutral,total_tweets,daily_change_pct
2015-04-23,MSFT,0.2147058824,27.5,6.029411765,66.47058824,0.5381648591,187,41,452,680,0.8258694894
2015-04-23,TSLA,0.06629834254,9.116022099,2.486187845,88.39779006,0.3345681459,33,9,320,362,-0.3827925629
2015-04-24,AAPL,0.07872928177,13.19060773,5.317679558,81.49171271,0.4230936038,191,77,1180,1448,0.4704249248
2015-04-24,AMZN,0.1716507177,24.22248804,7.057416268,68.72009569,0.5324515324,405,118,1149,1672,14.13113157
2015-04-24,GOOG,0.1482993197,20,5.170068027,74.82993197,0.4796049892,147,38,550,735,3.301645338
2015-04-24,GOOGL,0.1259541985,19.65648855,7.061068702,73.28244275,0.5017884323,103,37,384,524,2.906038101
2015-04-24,MSFT,0.2799539171,32.37327189,4.377880184,63.24884793,0.5380249221,281,38,549,868,10.45223812
2015-04-24,TSLA,-0.08737864078,11.40776699,20.14563107,68.44660194,0.5555610674,47,83,282,412,-0.08005489478
2015-04-25,AAPL,0.1445783133,19.44922547,4.991394148,75.55938038,0.4731687417,113,29,439,581,0.4704249248
2015-04-25,AMZN,0.06876790831,11.747851,4.871060172,83.38108883,0.4023978781,41,17,291,349,14.13113157
2015-04-25,GOOG,0.08053691275,13.42281879,5.369127517,81.20805369,0.4273864402,20,8,121,149,3.301645338
2015-04-25,GOOGL,0.08633093525,10.07194245,1.438848921,88.48920863,0.3292946874,14,2,123,139,2.906038101
2015-04-25,MSFT,0.1755725191,19.84732824,2.290076336,77.86259542,0.4381941268,26,3,102,131,10.45223812
2015-04-25,TSLA,0.07971014493,12.31884058,4.347826087,83.33333333,0.4018496324,17,6,115,138,-0.08005489478
2015-04-26,AAPL,0.1154499151,16.46859083,4.923599321,78.60780985,0.4482570285,97,29,463,589,0.4704249248
2015-04-26,AMZN,0.07772020725,11.91709845,4.14507772,83.93782383,0.3941908702,23,8,162,193,14.13113157
2015-04-26,GOOG,0.02475247525,7.425742574,4.95049505,87.62376238,0.3517987724,15,10,177,202,3.301645338
2015-04-26,GOOGL,0.008620689655,5.172413793,4.310344828,90.51724138,0.3091556427,6,5,105,116,2.906038101
2015-04-26,MSFT,0.1553398058,17.47572816,1.941747573,80.58252427,0.4143807464,18,2,83,103,10.45223812
2015-04-26,TSLA,-0.03448275862,5.517241379,8.965517241,85.51724138,0.3803104197,8,13,124,145,-0.08005489478
2015-04-27,AAPL,0.1706393406,25.12809089,8.064156828,66.80775228,0.5503382255,1128,362,2999,4489,1.819158735
2015-04-27,AMZN,-0.002222222222,12.66666667,12.88888889,74.44444444,0.5060827722,57,58,335,450,-1.469332734
2015-04-27,GOOG,0.1710794297,23.42158859,6.313645621,70.26476578,0.5182965188,115,31,345,491,-1.714862139
2015-04-27,GOOGL,0.1153846154,18.07692308,6.538461538,75.38461538,0.4834658558,47,17,196,260,-1.314367395
2015-04-27,MSFT,0.1161971831,19.71830986,8.098591549,72.18309859,0.5153663247,56,23,205,284,0.3342385628
2015-04-27,TSLA,0.07333333333,12.8,5.466666667,81.73333333,0.4213378569,96,41,613,750,6.00892755
2015-04-28,AAPL,0.1276657061,23.77521614,11.00864553,65.21613833,0.5758781611,825,382,2263,3470,-1.575574821
2015-04-28,AMZN,0.08985507246,12.75362319,3.768115942,83.47826087,0.3969890044,44,13,288,345,-2.109175483
2015-04-28,GOOG,0.06753812636,20.04357298,13.28976035,66.66666667,0.5740120012,92,61,306,459,-0.3043016367
2015-04-28,GOOGL,0.09090909091,15.90909091,6.818181818,77.27272727,0.468872046,42,18,204,264,-0.309121741
2015-04-28,MSFT,0.2068965517,27.93103448,7.24137931,64.82758621,0.5567646496,81,21,188,290,2.342286071
2015-04-28,TSLA,0.04627249357,10.79691517,6.16966581,83.03341902,0.4098248781,42,24,323,389,-0.4621032174
2015-04-29,AAPL,-0.1096551724,15,25.96551724,59.03448276,0.6306885737,435,753,1712,2900,-1.470588235
2015-04-29,AMZN,0.04635761589,16.22516556,11.58940397,72.18543046,0.5262258063,49,35,218,302,0.01397591484
2015-04-29,GOOG,0.0668202765,17.74193548,11.05990783,71.19815668,0.5331119411,77,48,309,434,-0.830804797
2015-04-29,GOOGL,-0.009756097561,9.268292683,10.24390244,80.48780488,0.4426994278,19,21,165,205,-0.5280223967
2015-04-29,MSFT,0.1828193833,21.14537445,2.863436123,75.99118943,0.4551059144,96,13,345,454,-0.1932661988
2015-04-29,TSLA,0.05013927577,10.86350975,5.849582173,83.28690808,0.4062964388,39,21,299,359,0.8547379382
2015-04-30,AAPL,-0.02686567164,12.02558635,14.71215352,73.26226013,0.5164972365,282,345,1718,2345,-2.712997512
2015-04-30,AMZN,0.07749077491,14.7601476,7.011070111,78.22878229,0.4609679579,40,19,212,271,-1.767706174
2015-04-30,GOOG,0.1388888889,16.91919192,3.03030303,80.05050505,0.4250423988,67,12,317,396,-2.138121949
2015-04-30,GOOGL,0.006024096386,6.024096386,5.421686747,88.55421687,0.3392860231,10,9,147,166,-2.247991592
2015-04-30,MSFT,0.1382978723,21.54255319,7.712765957,70.74468085,0.5235991104,81,29,266,376,-0.8560945781
2015-04-30,TSLA,0.05714285714,10.42016807,4.705882353,84.87394958,0.3850251268,62,28,505,595,-2.753280275
2015-05-01,AAPL,0.06887417219,15.43046358,8.543046358,76.02649007,0.4849197607,233,129,1148,1510,3.036356372
2015-05-01,AMZN,0.16796875,21.875,5.078125,73.046875,0.4922033047,56,13,187,256,0.2584285647
2015-05-01,GOOG,0.1363636364,17.61363636,3.977272727,78.40909091,0.4448327752,62,14,276,352,0.1042170693
2015-05-01,GOOGL,0.06211180124,13.04347826,6.832298137,80.1242236,0.4428521338,21,11,129,161,0.4355194344
2015-05-01,MSFT,0.2390438247,26.69322709,2.788844622,70.51792829,0.4884971669,67,7,177,251,0.03083881579
2015-05-01,TSLA,0.068683565,10.95666394,4.088307441,84.95502862,0.3819051439,134,50,1039,1223,-0.008847600088
2015-05-02,AAPL,-0.1,10,20,70,0.5676462122,1,2,7,10,3.036356372
2015-05-02,AMZN,0.04054054054,16.21621622,12.16216216,71.62162162,0.5347945243,12,9,53,74,0.2584285647
2015-05-02,GOOG,-0.05660377358,7.547169811,13.20754717,79.24528302,0.4563692137,4,7,42,53,0.1042170693
2015-05-02,GOOGL,0.02,8,6,86,0.3774241375,4,3,43,50,0.4355194344
2015-05-02,MSFT,-0.04,4,8,88,0.3511884584,1,2,22,25,0.03083881579
2015-05-02,TSLA,0.06209150327,8.823529412,2.614379085,88.5620915,0.3329956502,27,8,271,306,-0.008847600088
2015-05-03,AAPL,0.1988700565,24.63276836,4.745762712,70.62146893,0.5045033287,218,42,625,885,3.036356372
2015-05-03,AMZN,0.2,20,0,80,0.4216370214,2,0,8,10,0.2584285647
2015-05-03,GOOG,0.05555555556,12.03703704,6.481481481,81.48148148,0.4277215641,26,14,176,216,0.1042170693
2015-05-03,GOOGL,0.08,8,0,92,0.2731201102,6,0,69,75,0.4355194344
2015-05-03,MSFT,0.09090909091,9.090909091,0,90.90909091,0.3015113446,1,0,10,11,0.03083881579
2015-05-03,TSLA,0.07692307692,7.692307692,0,92.30769231,0.2717464882,2,0,24,26,-0.008847600088
2015-05-04,AAPL,0.06513761468,14.67889908,8.165137615,77.1559633,0.473712289,160,89,841,1090,-0.1938735944
2015-05-04,AMZN,0.1410788382,17.01244813,2.904564315,80.08298755,0.4242803687,41,7,193,241,0.04020148036
2015-05-04,GOOG,0.08695652174,12.11180124,3.416149068,84.47204969,0.3849392775,39,11,272,322,0.5354155047
2015-05-04,GOOGL,0.01886792453,5.660377358,3.773584906,90.56603774,0.307536107,9,6,144,159,0.3048116699
2015-05-04,MSFT,0.111627907,17.6744186,6.511627907,75.81395349,0.4800746157,38,14,163,215,-0.852944199
2015-05-04,TSLA,0.05,9.565217391,4.565217391,85.86956522,0.3729701782,44,21,395,460,1.982037783
2015-05-05,AAPL,-0.03430531732,13.72212693,17.15265866,69.12521441,0.5550670893,80,100,403,583,-2.253302253
2015-05-05,AMZN,0.04242424242,11.51515152,7.272727273,81.21212121,0.4320237969,38,24,268,330,-0.4373108926
2015-05-05,GOOG,0.08943089431,15.17615176,6.233062331,78.59078591,0.4545924491,56,23,290,369,-1.845482451
2015-05-05,GOOGL,0.06703910615,10.61452514,3.910614525,85.47486034,0.3762285548,19,7,153,179,-1.771760365
2015-05-05,MSFT,0.07941176471,15.58823529,7.647058824,76.76470588,0.476144429,53,26,261,340,-1.326699834
2015-05-05,TSLA,0.06930693069,15.67656766,8.745874587,75.57755776,0.4897108422,95,53,458,606,1.058522407
2015-05-06,AAPL,0.03340926348,13.05998481,9.719058466,77.22095672,0.4762840526,172,128,1017,1317,-0.6279809221
2015-05-06,AMZN,0.07100591716,10.65088757,3.550295858,85.79881657,0.3706432695,36,12,290,338,-0.4962131105
2015-05-06,GOOG,0.1384615385,16.48351648,2.637362637,80.87912088,0.4152302134,75,12,368,455,-1.239638282
2015-05-06,GOOGL,0.07,10,3,87,0.3545823504,20,6,174,200,-1.466729277
2015-05-06,MSFT,0.1137123746,15.71906355,4.347826087,79.93311037,0.4340142703,47,13,239,299,-2.773109244
2015-05-06,TSLA,0.05480769231,15.48076923,10,74.51923077,0.5020419915,161,104,775,1040,-1.081777205
2015-05-07,AAPL,0.0696969697,14.09090909,7.121212121,78.78787879,0.4554346072,186,94,1040,1320,0.1999840013
2015-05-07,AMZN,0.1309090909,16,2.909090909,81.09090909,0.4154290401,44,8,223,275,1.856358864
2015-05-07,GOOG,0.05172413793,6.513409962,1.340996169,92.14559387,0.2757069026,34,7,481,522,1.236122239
2015-05-07,GOOGL,0.0504587156,6.422018349,1.376146789,92.20183486,0.2752874838,14,3,201,218,1.300740076
2015-05-07,MSFT,0.2193548387,24.51612903,2.580645161,72.90322581,0.4736013961,38,4,113,155,0.9075194468
2015-05-07,TSLA,0.02596053998,8.930425753,6.334371755,84.73520249,0.3900410268,86,61,816,963,2.764396997
2015-05-08,AAPL,0.1060606061,16.36363636,5.757575758,77.87878788,0.4589133418,54,19,257,330,1.884081111
2015-05-08,AMZN,0.1013986014,14.68531469,4.545454545,80.76923077,0.4273929149,42,13,231,286,1.595296102
2015-05-08,GOOG,0.1034482759,12.64367816,2.298850575,85.05747126,0.3729926565,44,8,296,348,1.41699642
2015-05-08,GOOGL,0.08771929825,12.28070175,3.50877193,84.21052632,0.3886947277,21,6,144,171,1.274813667
2015-05-08,MSFT,0.1931330472,24.46351931,5.150214592,70.38626609,0.5098555106,57,12,164,233,2.248394004
2015-05-08,TSLA,0.02877697842,8.872901679,5.995203837,85.13189448,0.3849783843,37,25,355,417,-0.08023648649
2015-05-09,AMZN,0.08496732026,11.11111111,2.614379085,86.2745098,0.3617885472,17,4,132,153,1.884081111
2015-05-09,GOOG,0.09004739336,12.32227488,3.317535545,84.36018957,0.385999627,26,7,178,211,1.595296102
2015-05-09,GOOGL,0.07228915663,9.638554217,2.409638554,87.95180723,0.341557856,8,2,73,83,1.41699642
2015-05-09,MSFT,0.1973684211,22.36842105,2.631578947,75,0.4624496179,17,2,57,76,1.274813667
2015-05-09,TSLA,0.03233830846,4.726368159,1.492537313,93.78109453,0.2475798165,19,6,377,402,2.248394004
2015-05-10,AAPL,0.007228915663,11.80722892,11.08433735,77.10843373,0.4789741283,49,46,320,415,-0.08023648649
2015-05-10,AMZN,0.07638888889,10.41666667,2.777777778,86.80555556,0.3563580566,15,4,125,144,1.884081111
2015-05-10,GOOG,0.08870967742,16.12903226,7.258064516,76.61290323,0.4773248076,20,9,95,124,1.595296102
2015-05-10,GOOGL,0.05050505051,9.090909091,4.04040404,86.86868687,0.3606608836,9,4,86,99,1.41699642
2015-05-10,MSFT,0.125,12.5,0,87.5,0.3337119062,7,0,49,56,1.274813667
2015-05-10,TSLA,0.1007751938,10.85271318,0.7751937984,88.37209302,0.3270359604,14,1,114,129,2.248394004
2015-05-11,AAPL,0.1116193962,17.47483989,6.312900274,76.21225984,0.4749999361,191,69,833,1093,-0.08023648649
2015-05-11,AMZN,0.08921933086,13.38289963,4.460966543,82.15613383,0.4136601102,36,12,221,269,-0.1936867348
2015-05-11,GOOG,0.07317073171,13.82113821,6.504065041,79.67479675,0.4454613822,51,24,294,369,-0.4682100256
2015-05-11,GOOGL,-0.0650887574,8.284023669,14.79289941,76.92307692,0.4773689278,14,25,130,169,-0.5774660716
2015-05-11,MSFT,0.08018867925,14.62264151,6.603773585,78.77358491,0.4547630624,31,14,167,212,-0.7958115183
2015-05-11,TSLA,0.0578313253,11.08433735,5.301204819,83.61445783,0.401121761,46,22,347,415,1.217192849
2015-05-12,AAPL,-0.009900990099,11.88118812,12.87128713,75.24752475,0.498655895,24,26,152,202,-0.3562381254
2015-05-12,AMZN,0.05263157895,8.333333333,3.070175439,88.59649123,0.334298009,19,7,202,228,-0.4227792538
2015-05-12,GOOG,0.05107526882,8.870967742,3.76344086,87.3655914,0.3522341857,33,14,325,372,-1.243233153
2015-05-12,GOOGL,0.03246753247,9.090909091,5.844155844,85.06493506,0.386349281,14,9,131,154,-1.291729268
2015-05-12,MSFT,0.1075268817,12.90322581,2.150537634,84.94623656,0.3738005131,24,4,158,186,-0.04222081486
2015-05-12,TSLA,0.08450704225,12.67605634,4.225352113,83.09859155,0.4037581916,18,6,118,142,2.192158336
2015-05-13,AAPL,0.06930693069,11.88118812,4.95049505,83.16831683,0.4063846883,12,5,84,101,0.111225868
2015-05-13,AMZN,0.04545454545,8.181818182,3.636363636,88.18181818,0.3415346412,18,8,194,220,-0.9628323512
2015-05-13,GOOG,0.05084745763,8.192090395,3.107344633,88.70056497,0.3327486429,29,11,314,354,0.109632542
2015-05-13,GOOGL,0.04285714286,7.857142857,3.571428571,88.57142857,0.3365382074,11,5,124,140,0.1410725224
2015-05-13,MSFT,0.178343949,22.29299363,4.458598726,73.24840764,0.4870526838,35,7,115,157,0.580781415
2015-05-13,TSLA,0.1029411765,14.11764706,3.823529412,82.05882353,0.4114764366,48,13,279,340,-0.6374111302
2015-05-14,AAPL,0.1440677966,19.37046005,4.963680387,75.66585956,0.4720759212,160,41,625,826,2.333148163
2015-05-14,AMZN,0.007462686567,5.970149254,5.223880597,88.80597015,0.3351173679,16,14,238,268,1.267364771
2015-05-14,GOOG,0.09418282548,13.01939058,3.601108033,83.37950139,0.3972047608,47,13,301,361,1.657792379
2015-05-14,GOOGL,0.02762430939,8.287292818,5.524861878,86.1878453,0.3716470731,15,10,156,181,1.799848005
2015-05-14,MSFT,0.1730769231,20.19230769,2.884615385,76.92307692,0.4492034322,42,6,160,208,2.299212598
2015-05-14,TSLA,0.06281407035,9.045226131,2.763819095,88.19095477,0.3382785292,36,11,351,398,0.3783205856
2015-05-15,AAPL,0.08110687023,14.98091603,6.870229008,78.14885496,0.4605817467,157,72,819,1048,-0.139588988
2015-05-15,AMZN,0.02348993289,7.382550336,5.033557047,87.58389262,0.3521725285,22,15,261,298,-1.452762099
2015-05-15,GOOG,0.06359649123,9.649122807,3.289473684,87.06140351,0.3544247832,44,15,397,456,-0.8450965825
2015-05-15,GOOGL,-0.005025125628,4.020100503,4.522613065,91.45728643,0.2929730473,8,9,182,199,-0.4934450109
2015-05-15,MSFT,0.1168831169,18.83116883,7.142857143,74.02597403,0.4976815785,29,11,114,154,-0.8723316913
2015-05-15,TSLA,0.07194244604,9.592326139,2.398081535,88.00959233,0.3391226187,40,10,367,417,1.94182712
2015-05-16,AAPL,0.03527607362,8.128834356,4.601226994,87.26993865,0.3553165446,53,30,569,652,-0.139588988
2015-05-16,AMZN,0,2.821316614,2.821316614,94.35736677,0.2379154757,9,9,301,319,-1.452762099
2015-05-16,GOOG,0.009950248756,4.726368159,3.731343284,91.54228856,0.2910133598,19,15,368,402,-0.8450965825
2015-05-16,GOOGL,0.004716981132,1.886792453,1.41509434,96.69811321,0.1820796531,4,3,205,212,-0.4934450109
2015-05-16,MSFT,0.1551724138,24.13793103,8.620689655,67.24137931,0.5557269346,14,5,39,58,-0.8723316913
2015-05-16,TSLA,0.03422053232,5.323193916,1.901140684,92.7756654,0.2671021705,14,5,244,263,1.94182712
2015-05-17,AAPL,0.06769230769,13.38461538,6.615384615,80,0.4424012403,87,43,520,650,-0.139588988
2015-05-17,AMZN,0.03914590747,4.270462633,0.3558718861,95.37366548,0.2118742469,12,1,268,281,-1.452762099
2015-05-17,GOOG,0,4.383561644,4.383561644,91.23287671,0.2964997267,16,16,333,365,-0.8450965825
2015-05-17,GOOGL,0.007462686567,2.23880597,1.492537313,96.26865672,0.1937469343,3,2,129,134,-0.4934450109
2015-05-17,MSFT,0.2,20,0,80,0.405839725,7,0,28,35,-0.8723316913
2015-05-17,TSLA,0.05882352941,6.862745098,0.9803921569,92.15686275,0.2744822053,14,2,188,204,1.94182712
2015-05-18,AAPL,0.1154454402,18.13389562,6.589351608,75.27675277,0.483764602,344,125,1428,1897,1.102741322
2015-05-18,AMZN,0.0676056338,10.98591549,4.225352113,84.78873239,0.3846543124,39,15,301,355,-0.1784037559
2015-05-18,GOOG,0.07918552036,9.502262443,1.583710407,88.91402715,0.323769279,42,7,393,442,-0.2903437295
2015-05-18,GOOGL,0.01843317972,5.069124424,3.225806452,91.70506912,0.2880832834,11,7,199,217,0.0329374737
2015-05-18,MSFT,0.1103896104,14.93506494,3.896103896,81.16883117,0.4210427192,23,6,125,154,-0.5901232012
2015-05-18,TSLA,-0.1123853211,7.110091743,18.34862385,74.5412844,0.492456006,31,80,325,436,-0.03616781868
2015-05-19,AAPL,0.06480304956,14.16772554,7.687420584,78.14485388,0.463128811,223,121,1230,1574,-0.09217297796
2015-05-19,AMZN,0.03846153846,9.230769231,5.384615385,85.38461538,0.381094667,24,14,222,260,-0.830119462
2015-05-19,GOOG,0.05653710247,11.13074205,5.477031802,83.39222615,0.4039425455,63,31,472,566,0.9505917716
2015-05-19,GOOGL,0.05714285714,10.95238095,5.238095238,83.80952381,0.3992474123,23,11,176,210,0.4774361132
2015-05-19,MSFT,0.1237113402,18.04123711,5.670103093,76.28865979,0.4721844717,35,11,148,194,-0.8956467403
2015-05-19,TSLA,-0.07843137255,4.575163399,12.41830065,83.00653595,0.4060303943,7,19,127,153,-0.6472361809
2015-05-20,AAPL,0.04991816694,9.492635025,4.500818331,86.00654664,0.3708844508,116,55,1051,1222,-0.00768816791
2015-05-20,AMZN,0.04175824176,6.373626374,2.197802198,91.42857143,0.2900956602,29,10,416,455,0.5098290294
2015-05-20,GOOG,0.04467353952,7.216494845,2.749140893,90.03436426,0.3127758348,42,16,524,582,0.3554414173
2015-05-20,GOOGL,0.05827505828,7.459207459,1.631701632,90.90909091,0.2961715354,32,7,390,429,0.5880425284
2015-05-20,MSFT,0.09701492537,12.68656716,2.985074627,84.32835821,0.3852428779,17,4,113,134,0
2015-05-20,TSLA,0.04383561644,8.493150685,4.109589041,87.39726027,0.3527701604,31,15,319,365,-1.128914785
2015-05-21,AAPL,0.07365223994,13.81928626,6.454062263,79.72665148,0.4443633237,182,85,1050,1317,1.022604952
2015-05-21,AMZN,0.0951417004,12.55060729,3.036437247,84.41295547,0.3835574383,62,15,417,494,1.833152456
2015-05-21,GOOG,0.03494176373,5.158069884,1.663893511,93.17803661,0.2590566957,31,10,560,601,0.6008122091
2015-05-21,GOOGL,0.06488549618,8.396946565,1.908396947,89.69465649,0.3149952658,22,5,235,262,0.7782664567
2015-05-21,MSFT,0.1028037383,17.75700935,7.476635514,74.76635514,0.4940128224,19,8,80,107,-0.3362757461
2015-05-21,TSLA,-0.006211180124,4.347826087,4.968944099,90.68322981,0.3054870489,21,24,438,483,0.5197462656
2015-05-22,AAPL,0.08761904762,14.57142857,5.80952381,79.61904762,0.4430794479,153,61,836,1050,0.8752568689
2015-05-22,AMZN,0.03133159269,7.832898172,4.699738903,87.46736292,0.3530866915,30,18,335,383,-0.9267196441
2015-05-22,GOOG,0.06944444444,8.134920635,1.19047619,90.67460317,0.2976696918,41,6,457,504,-0.4423881587
2015-05-22,GOOGL,0.01298701299,4.329004329,3.03030303,92.64069264,0.2715578164,10,7,214,231,-0.4112713493
2015-05-22,MSFT,0.1081081081,16.66666667,5.855855856,77.47747748,0.46314587,37,13,172,222,-1.09658372
2015-05-22,TSLA,-0.01015228426,5.837563452,6.852791878,87.30964467,0.3565433101,23,27,344,394,0.8590505659
2015-05-23,AAPL,0.1264822134,15.81027668,3.162055336,81.02766798,0.4172164676,80,16,410,506,0.8752568689
2015-05-23,AMZN,0.09130434783,10.43478261,1.304347826,88.26086957,0.3309547436,24,3,203,230,-0.9267196441
